current_time: 2026-05-15 08:53:23.614529,total_time: 0:01:38.589394, Epoch 10,epoch_time: 5.743s, Loss 5.6499
current_time: 2026-05-15 08:54:55.328940,total_time: 0:03:10.303805, Epoch 20,epoch_time: 6.444s, Loss 6.3498
current_time: 2026-05-15 08:56:29.084686,total_time: 0:04:44.059551, Epoch 30,epoch_time: 10.896s, Loss 6.1582
current_time: 2026-05-15 08:57:54.030760,total_time: 0:06:09.005625, Epoch 40,epoch_time: 10.254s, Loss 5.3140
current_time: 2026-05-15 09:00:03.772340,total_time: 0:08:18.747205, Epoch 50,epoch_time: 7.538s, Loss 6.5526
current_time: 2026-05-15 09:01:39.817136,total_time: 0:09:54.792001, Epoch 60,epoch_time: 13.714s, Loss 6.0094
current_time: 2026-05-15 09:03:40.359556,total_time: 0:11:55.334421, Epoch 70,epoch_time: 15.896s, Loss 6.0936
current_time: 2026-05-15 09:05:30.273982,total_time: 0:13:45.248847, Epoch 80,epoch_time: 6.303s, Loss 6.4760
current_time: 2026-05-15 09:06:58.896298,total_time: 0:15:13.871163, Epoch 90,epoch_time: 12.745s, Loss 5.3124
current_time: 2026-05-15 09:08:28.968771,total_time: 0:16:43.943636, Epoch 100,epoch_time: 6.638s, Loss 5.3951
current_time: 2026-05-15 09:10:01.961727,total_time: 0:18:16.936592, Epoch 110,epoch_time: 8.748s, Loss 5.9555
current_time: 2026-05-15 09:11:30.628671,total_time: 0:19:45.603536, Epoch 120,epoch_time: 5.802s, Loss 6.3267
current_time: 2026-05-15 09:13:15.152799,total_time: 0:21:30.127664, Epoch 130,epoch_time: 10.552s, Loss 5.8613
current_time: 2026-05-15 09:15:09.554754,total_time: 0:23:24.529619, Epoch 140,epoch_time: 10.644s, Loss 5.7981
current_time: 2026-05-15 09:17:14.934223,total_time: 0:25:29.909088, Epoch 150,epoch_time: 14.395s, Loss 5.8636
current_time: 2026-05-15 09:19:09.202462,total_time: 0:27:24.177327, Epoch 160,epoch_time: 10.451s, Loss 5.7475
current_time: 2026-05-15 09:20:59.987726,total_time: 0:29:14.962591, Epoch 170,epoch_time: 11.573s, Loss 5.9197
current_time: 2026-05-15 09:23:28.644361,total_time: 0:31:43.619226, Epoch 180,epoch_time: 12.463s, Loss 5.7643
current_time: 2026-05-15 09:25:40.443607,total_time: 0:33:55.418472, Epoch 190,epoch_time: 7.835s, Loss 6.1673
current_time: 2026-05-15 09:27:27.179567,total_time: 0:35:42.154432, Epoch 200,epoch_time: 4.261s, Loss 5.8116
current_time: 2026-05-15 09:29:32.566242,total_time: 0:37:47.541107, Epoch 210,epoch_time: 11.894s, Loss 6.2002
current_time: 2026-05-15 09:31:16.846649,total_time: 0:39:31.821514, Epoch 220,epoch_time: 8.242s, Loss 6.4993
current_time: 2026-05-15 09:32:47.873821,total_time: 0:41:02.848686, Epoch 230,epoch_time: 10.406s, Loss 5.6940
current_time: 2026-05-15 09:34:57.603293,total_time: 0:43:12.578158, Epoch 240,epoch_time: 13.139s, Loss 7.1003
current_time: 2026-05-15 09:36:59.433779,total_time: 0:45:14.408644, Epoch 250,epoch_time: 13.123s, Loss 6.3791
current_time: 2026-05-15 09:38:58.601143,total_time: 0:47:13.576008, Epoch 260,epoch_time: 8.301s, Loss 6.8798
current_time: 2026-05-15 09:40:36.394181,total_time: 0:48:51.369046, Epoch 270,epoch_time: 5.724s, Loss 6.5082
current_time: 2026-05-15 09:42:12.608810,total_time: 0:50:27.583675, Epoch 280,epoch_time: 9.694s, Loss 5.8677
current_time: 2026-05-15 09:43:44.506270,total_time: 0:51:59.481135, Epoch 290,epoch_time: 11.506s, Loss 5.8579
current_time: 2026-05-15 09:45:57.531751,total_time: 0:54:12.506616, Epoch 300,epoch_time: 9.651s, Loss 6.2616
