current_time: 2026-05-16 10:10:38.083900,total_time: 0:02:01.052328, Epoch 10,epoch_time: 15.327s, Loss 11.7594
current_time: 2026-05-16 10:12:18.608657,total_time: 0:03:41.577085, Epoch 20,epoch_time: 11.084s, Loss 9.9247
current_time: 2026-05-16 10:14:15.212434,total_time: 0:05:38.180862, Epoch 30,epoch_time: 12.316s, Loss 11.2608
current_time: 2026-05-16 10:16:12.590396,total_time: 0:07:35.558824, Epoch 40,epoch_time: 9.785s, Loss 9.8334
current_time: 2026-05-16 10:18:04.854381,total_time: 0:09:27.822809, Epoch 50,epoch_time: 10.566s, Loss 9.3148
current_time: 2026-05-16 10:20:04.725214,total_time: 0:11:27.693642, Epoch 60,epoch_time: 8.688s, Loss 9.1141
current_time: 2026-05-16 10:22:04.770112,total_time: 0:13:27.738540, Epoch 70,epoch_time: 6.935s, Loss 8.8480
current_time: 2026-05-16 10:24:00.140471,total_time: 0:15:23.108899, Epoch 80,epoch_time: 16.076s, Loss 9.0996
current_time: 2026-05-16 10:25:40.031873,total_time: 0:17:03.000301, Epoch 90,epoch_time: 11.451s, Loss 8.8252
current_time: 2026-05-16 10:27:40.021191,total_time: 0:19:02.989619, Epoch 100,epoch_time: 12.345s, Loss 8.7698
current_time: 2026-05-16 10:29:26.189422,total_time: 0:20:49.157850, Epoch 110,epoch_time: 7.784s, Loss 8.6665
current_time: 2026-05-16 10:31:19.952662,total_time: 0:22:42.921090, Epoch 120,epoch_time: 10.869s, Loss 8.7724
current_time: 2026-05-16 10:33:17.260569,total_time: 0:24:40.228997, Epoch 130,epoch_time: 19.653s, Loss 7.5952
current_time: 2026-05-16 10:35:09.752801,total_time: 0:26:32.721229, Epoch 140,epoch_time: 7.485s, Loss 9.2542
current_time: 2026-05-16 10:37:04.976337,total_time: 0:28:27.944765, Epoch 150,epoch_time: 10.660s, Loss 7.9580
current_time: 2026-05-16 10:39:11.415266,total_time: 0:30:34.383694, Epoch 160,epoch_time: 9.333s, Loss 9.5480
current_time: 2026-05-16 10:41:35.245205,total_time: 0:32:58.213633, Epoch 170,epoch_time: 9.273s, Loss 9.0225
current_time: 2026-05-16 10:43:52.254078,total_time: 0:35:15.222506, Epoch 180,epoch_time: 17.372s, Loss 8.7193
current_time: 2026-05-16 10:45:46.668464,total_time: 0:37:09.636892, Epoch 190,epoch_time: 7.620s, Loss 9.4007
current_time: 2026-05-16 10:47:44.325833,total_time: 0:39:07.294261, Epoch 200,epoch_time: 10.764s, Loss 8.3880
current_time: 2026-05-16 10:49:41.489059,total_time: 0:41:04.457487, Epoch 210,epoch_time: 7.797s, Loss 8.5989
current_time: 2026-05-16 10:51:43.034333,total_time: 0:43:06.002761, Epoch 220,epoch_time: 11.279s, Loss 8.6699
current_time: 2026-05-16 10:53:41.231853,total_time: 0:45:04.200281, Epoch 230,epoch_time: 8.303s, Loss 9.0496
current_time: 2026-05-16 10:55:23.225035,total_time: 0:46:46.193463, Epoch 240,epoch_time: 13.677s, Loss 8.1645
current_time: 2026-05-16 10:57:05.299884,total_time: 0:48:28.268312, Epoch 250,epoch_time: 16.707s, Loss 8.9793
current_time: 2026-05-16 10:59:09.757873,total_time: 0:50:32.726301, Epoch 260,epoch_time: 10.996s, Loss 9.2917
current_time: 2026-05-16 11:00:59.220706,total_time: 0:52:22.189134, Epoch 270,epoch_time: 10.573s, Loss 9.8084
current_time: 2026-05-16 11:03:06.478173,total_time: 0:54:29.446601, Epoch 280,epoch_time: 13.037s, Loss 9.3865
current_time: 2026-05-16 11:05:28.940402,total_time: 0:56:51.908830, Epoch 290,epoch_time: 9.051s, Loss 9.1834
current_time: 2026-05-16 11:07:12.497639,total_time: 0:58:35.466067, Epoch 300,epoch_time: 16.390s, Loss 9.8184
current_time: 2026-05-16 11:09:21.270362,total_time: 1:00:44.238790, Epoch 310,epoch_time: 12.315s, Loss 8.8047
current_time: 2026-05-16 11:11:19.846678,total_time: 1:02:42.815106, Epoch 320,epoch_time: 10.482s, Loss 9.1483
current_time: 2026-05-16 11:13:17.855437,total_time: 1:04:40.823865, Epoch 330,epoch_time: 9.631s, Loss 9.1753
current_time: 2026-05-16 11:15:18.267513,total_time: 1:06:41.235941, Epoch 340,epoch_time: 13.937s, Loss 9.1437
current_time: 2026-05-16 11:17:09.166990,total_time: 1:08:32.135418, Epoch 350,epoch_time: 12.804s, Loss 9.3025
current_time: 2026-05-16 11:19:23.491377,total_time: 1:10:46.459805, Epoch 360,epoch_time: 5.465s, Loss 9.2104
current_time: 2026-05-16 11:21:29.346394,total_time: 1:12:52.314822, Epoch 370,epoch_time: 16.308s, Loss 9.0703
current_time: 2026-05-16 11:23:39.727059,total_time: 1:15:02.695487, Epoch 380,epoch_time: 8.782s, Loss 9.2917
current_time: 2026-05-16 11:25:14.203641,total_time: 1:16:37.172069, Epoch 390,epoch_time: 5.574s, Loss 9.6377
current_time: 2026-05-16 11:27:23.175680,total_time: 1:18:46.144108, Epoch 400,epoch_time: 4.802s, Loss 9.2334
current_time: 2026-05-16 11:29:31.397889,total_time: 1:20:54.366317, Epoch 410,epoch_time: 10.195s, Loss 9.2939
current_time: 2026-05-16 11:31:17.448156,total_time: 1:22:40.416584, Epoch 420,epoch_time: 8.184s, Loss 9.6965
current_time: 2026-05-16 11:33:25.456746,total_time: 1:24:48.425174, Epoch 430,epoch_time: 20.279s, Loss 9.1648
current_time: 2026-05-16 11:35:08.828581,total_time: 1:26:31.797009, Epoch 440,epoch_time: 11.070s, Loss 8.0345
current_time: 2026-05-16 11:37:24.776587,total_time: 1:28:47.745015, Epoch 450,epoch_time: 29.390s, Loss 8.9959
current_time: 2026-05-16 11:39:22.625651,total_time: 1:30:45.594079, Epoch 460,epoch_time: 12.967s, Loss 9.2904
current_time: 2026-05-16 11:41:40.647349,total_time: 1:33:03.615777, Epoch 470,epoch_time: 8.108s, Loss 9.0432
current_time: 2026-05-16 11:44:03.764820,total_time: 1:35:26.733248, Epoch 480,epoch_time: 16.816s, Loss 9.6684
current_time: 2026-05-16 11:45:37.198188,total_time: 1:37:00.166616, Epoch 490,epoch_time: 12.048s, Loss 8.6190
current_time: 2026-05-16 11:47:30.703071,total_time: 1:38:53.671499, Epoch 500,epoch_time: 7.782s, Loss 9.0776
