current_time: 2026-05-15 09:52:25.739295,total_time: 0:03:20.550030, Epoch 10,epoch_time: 23.490s, Loss 9.8328
current_time: 2026-05-15 09:54:54.119338,total_time: 0:05:48.930073, Epoch 20,epoch_time: 12.861s, Loss 7.7797
current_time: 2026-05-15 09:57:46.609652,total_time: 0:08:41.420387, Epoch 30,epoch_time: 28.336s, Loss 8.3624
current_time: 2026-05-15 10:00:47.130752,total_time: 0:11:41.941487, Epoch 40,epoch_time: 28.679s, Loss 8.2669
current_time: 2026-05-15 10:03:38.455876,total_time: 0:14:33.266611, Epoch 50,epoch_time: 28.441s, Loss 7.7626
current_time: 2026-05-15 10:06:37.298146,total_time: 0:17:32.108881, Epoch 60,epoch_time: 27.634s, Loss 7.6473
current_time: 2026-05-15 10:09:50.660686,total_time: 0:20:45.471421, Epoch 70,epoch_time: 28.739s, Loss 7.2341
current_time: 2026-05-15 10:12:09.153052,total_time: 0:23:03.963787, Epoch 80,epoch_time: 14.301s, Loss 7.5389
current_time: 2026-05-15 10:14:40.204734,total_time: 0:25:35.015469, Epoch 90,epoch_time: 16.723s, Loss 7.0864
current_time: 2026-05-15 10:17:33.338104,total_time: 0:28:28.148839, Epoch 100,epoch_time: 18.192s, Loss 6.7446
current_time: 2026-05-15 10:19:39.939781,total_time: 0:30:34.750516, Epoch 110,epoch_time: 11.741s, Loss 6.6943
current_time: 2026-05-15 10:22:21.012733,total_time: 0:33:15.823468, Epoch 120,epoch_time: 10.986s, Loss 6.7302
current_time: 2026-05-15 10:25:07.311459,total_time: 0:36:02.122194, Epoch 130,epoch_time: 14.687s, Loss 6.5821
current_time: 2026-05-15 10:27:47.391804,total_time: 0:38:42.202539, Epoch 140,epoch_time: 12.700s, Loss 7.2775
current_time: 2026-05-15 10:30:02.826879,total_time: 0:40:57.637614, Epoch 150,epoch_time: 7.848s, Loss 7.1520
current_time: 2026-05-15 10:32:32.598592,total_time: 0:43:27.409327, Epoch 160,epoch_time: 18.786s, Loss 6.8875
current_time: 2026-05-15 10:34:34.558870,total_time: 0:45:29.369605, Epoch 170,epoch_time: 15.545s, Loss 6.6378
current_time: 2026-05-15 10:36:49.614515,total_time: 0:47:44.425250, Epoch 180,epoch_time: 13.708s, Loss 7.0699
current_time: 2026-05-15 10:38:58.977767,total_time: 0:49:53.788502, Epoch 190,epoch_time: 11.836s, Loss 6.4723
current_time: 2026-05-15 10:41:35.853909,total_time: 0:52:30.664644, Epoch 200,epoch_time: 10.517s, Loss 7.4160
current_time: 2026-05-15 10:44:20.926011,total_time: 0:55:15.736746, Epoch 210,epoch_time: 15.619s, Loss 6.8428
current_time: 2026-05-15 10:47:07.320404,total_time: 0:58:02.131139, Epoch 220,epoch_time: 18.784s, Loss 6.7403
current_time: 2026-05-15 10:49:33.309292,total_time: 1:00:28.120027, Epoch 230,epoch_time: 9.672s, Loss 7.3673
current_time: 2026-05-15 10:51:46.933949,total_time: 1:02:41.744684, Epoch 240,epoch_time: 23.741s, Loss 7.2763
current_time: 2026-05-15 10:54:01.155330,total_time: 1:04:55.966065, Epoch 250,epoch_time: 10.284s, Loss 7.2211
current_time: 2026-05-15 10:57:18.039502,total_time: 1:08:12.850237, Epoch 260,epoch_time: 21.700s, Loss 7.5747
current_time: 2026-05-15 10:59:27.968066,total_time: 1:10:22.778801, Epoch 270,epoch_time: 16.670s, Loss 6.6738
current_time: 2026-05-15 11:01:44.625956,total_time: 1:12:39.436691, Epoch 280,epoch_time: 13.598s, Loss 6.8981
current_time: 2026-05-15 11:03:59.703133,total_time: 1:14:54.513868, Epoch 290,epoch_time: 13.690s, Loss 8.2056
current_time: 2026-05-15 11:06:17.296223,total_time: 1:17:12.106958, Epoch 300,epoch_time: 13.207s, Loss 6.5081
current_time: 2026-05-15 11:08:52.172465,total_time: 1:19:46.983200, Epoch 310,epoch_time: 13.484s, Loss 7.1482
current_time: 2026-05-15 11:11:30.753677,total_time: 1:22:25.564412, Epoch 320,epoch_time: 12.506s, Loss 6.5815
current_time: 2026-05-15 11:13:47.775033,total_time: 1:24:42.585768, Epoch 330,epoch_time: 11.156s, Loss 6.9303
current_time: 2026-05-15 11:16:16.514836,total_time: 1:27:11.325571, Epoch 340,epoch_time: 12.301s, Loss 7.2383
current_time: 2026-05-15 11:18:34.815683,total_time: 1:29:29.626418, Epoch 350,epoch_time: 17.054s, Loss 7.1171
current_time: 2026-05-15 11:20:59.831693,total_time: 1:31:54.642428, Epoch 360,epoch_time: 8.996s, Loss 7.2648
current_time: 2026-05-15 11:22:55.870706,total_time: 1:33:50.681441, Epoch 370,epoch_time: 12.437s, Loss 6.8598
current_time: 2026-05-15 11:25:06.591248,total_time: 1:36:01.401983, Epoch 380,epoch_time: 11.142s, Loss 7.0252
current_time: 2026-05-15 11:26:58.986765,total_time: 1:37:53.797500, Epoch 390,epoch_time: 13.415s, Loss 6.8877
