current_time: 2026-05-16 06:19:45.814456,total_time: 0:01:35.170546, Epoch 10,epoch_time: 12.300s, Loss 8.0739
current_time: 2026-05-16 06:21:27.490370,total_time: 0:03:16.846460, Epoch 20,epoch_time: 6.478s, Loss 9.4646
current_time: 2026-05-16 06:23:16.446104,total_time: 0:05:05.802194, Epoch 30,epoch_time: 7.495s, Loss 8.5152
current_time: 2026-05-16 06:25:07.036914,total_time: 0:06:56.393004, Epoch 40,epoch_time: 6.039s, Loss 7.3095
current_time: 2026-05-16 06:26:48.994994,total_time: 0:08:38.351084, Epoch 50,epoch_time: 13.966s, Loss 7.3922
current_time: 2026-05-16 06:28:32.572520,total_time: 0:10:21.928610, Epoch 60,epoch_time: 9.672s, Loss 8.2884
current_time: 2026-05-16 06:30:22.716452,total_time: 0:12:12.072542, Epoch 70,epoch_time: 19.534s, Loss 7.8109
current_time: 2026-05-16 06:32:02.754869,total_time: 0:13:52.110959, Epoch 80,epoch_time: 7.697s, Loss 7.7687
current_time: 2026-05-16 06:34:10.318499,total_time: 0:15:59.674589, Epoch 90,epoch_time: 6.646s, Loss 7.5850
current_time: 2026-05-16 06:35:52.141849,total_time: 0:17:41.497939, Epoch 100,epoch_time: 9.181s, Loss 7.7845
current_time: 2026-05-16 06:38:04.293538,total_time: 0:19:53.649628, Epoch 110,epoch_time: 8.025s, Loss 7.1615
current_time: 2026-05-16 06:40:00.411532,total_time: 0:21:49.767622, Epoch 120,epoch_time: 6.185s, Loss 7.8188
current_time: 2026-05-16 06:41:44.595477,total_time: 0:23:33.951567, Epoch 130,epoch_time: 10.769s, Loss 7.0196
current_time: 2026-05-16 06:43:39.316152,total_time: 0:25:28.672242, Epoch 140,epoch_time: 13.860s, Loss 7.1218
current_time: 2026-05-16 06:45:45.980177,total_time: 0:27:35.336267, Epoch 150,epoch_time: 7.808s, Loss 7.7161
current_time: 2026-05-16 06:47:42.816809,total_time: 0:29:32.172899, Epoch 160,epoch_time: 9.317s, Loss 8.1645
current_time: 2026-05-16 06:49:25.920378,total_time: 0:31:15.276468, Epoch 170,epoch_time: 8.334s, Loss 7.4954
current_time: 2026-05-16 06:51:24.362674,total_time: 0:33:13.718764, Epoch 180,epoch_time: 13.136s, Loss 7.7857
current_time: 2026-05-16 06:53:19.120498,total_time: 0:35:08.476588, Epoch 190,epoch_time: 8.763s, Loss 7.6432
current_time: 2026-05-16 06:54:56.958778,total_time: 0:36:46.314868, Epoch 200,epoch_time: 13.740s, Loss 7.9651
current_time: 2026-05-16 06:57:00.201634,total_time: 0:38:49.557724, Epoch 210,epoch_time: 15.382s, Loss 7.2615
current_time: 2026-05-16 06:58:46.996124,total_time: 0:40:36.352214, Epoch 220,epoch_time: 3.271s, Loss 8.1876
current_time: 2026-05-16 07:00:29.756809,total_time: 0:42:19.112899, Epoch 230,epoch_time: 4.949s, Loss 8.1680
current_time: 2026-05-16 07:02:33.143094,total_time: 0:44:22.499184, Epoch 240,epoch_time: 6.132s, Loss 7.6616
current_time: 2026-05-16 07:04:39.751372,total_time: 0:46:29.107462, Epoch 250,epoch_time: 15.558s, Loss 8.3469
current_time: 2026-05-16 07:06:29.336784,total_time: 0:48:18.692874, Epoch 260,epoch_time: 7.643s, Loss 8.0751
current_time: 2026-05-16 07:08:14.940367,total_time: 0:50:04.296457, Epoch 270,epoch_time: 12.424s, Loss 7.2246
