current_time: 2026-05-16 12:12:22.542150,total_time: 0:02:01.084293, Epoch 10,epoch_time: 9.926s, Loss 9.4072
current_time: 2026-05-16 12:14:03.705205,total_time: 0:03:42.247348, Epoch 20,epoch_time: 8.585s, Loss 9.1185
current_time: 2026-05-16 12:15:58.134390,total_time: 0:05:36.676533, Epoch 30,epoch_time: 10.389s, Loss 9.1890
current_time: 2026-05-16 12:17:32.227532,total_time: 0:07:10.769675, Epoch 40,epoch_time: 11.538s, Loss 8.8543
current_time: 2026-05-16 12:19:10.404660,total_time: 0:08:48.946803, Epoch 50,epoch_time: 10.064s, Loss 8.4981
current_time: 2026-05-16 12:21:26.056073,total_time: 0:11:04.598216, Epoch 60,epoch_time: 13.521s, Loss 8.9506
current_time: 2026-05-16 12:23:10.138223,total_time: 0:12:48.680366, Epoch 70,epoch_time: 8.519s, Loss 9.5018
current_time: 2026-05-16 12:24:53.925092,total_time: 0:14:32.467235, Epoch 80,epoch_time: 9.784s, Loss 8.9208
current_time: 2026-05-16 12:26:56.988348,total_time: 0:16:35.530491, Epoch 90,epoch_time: 12.004s, Loss 9.3880
current_time: 2026-05-16 12:28:57.136357,total_time: 0:18:35.678500, Epoch 100,epoch_time: 4.919s, Loss 9.4197
current_time: 2026-05-16 12:31:04.394079,total_time: 0:20:42.936222, Epoch 110,epoch_time: 8.382s, Loss 8.9942
current_time: 2026-05-16 12:33:39.038966,total_time: 0:23:17.581109, Epoch 120,epoch_time: 17.133s, Loss 9.3232
current_time: 2026-05-16 12:36:08.994514,total_time: 0:25:47.536657, Epoch 130,epoch_time: 8.401s, Loss 9.2653
current_time: 2026-05-16 12:38:59.850823,total_time: 0:28:38.392966, Epoch 140,epoch_time: 25.496s, Loss 9.8058
current_time: 2026-05-16 12:41:49.491746,total_time: 0:31:28.033889, Epoch 150,epoch_time: 20.731s, Loss 10.0321
current_time: 2026-05-16 12:44:07.954243,total_time: 0:33:46.496386, Epoch 160,epoch_time: 12.183s, Loss 9.7509
current_time: 2026-05-16 12:46:26.782083,total_time: 0:36:05.324226, Epoch 170,epoch_time: 20.960s, Loss 9.9674
current_time: 2026-05-16 12:48:29.825552,total_time: 0:38:08.367695, Epoch 180,epoch_time: 8.613s, Loss 9.0454
current_time: 2026-05-16 12:50:35.489360,total_time: 0:40:14.031503, Epoch 190,epoch_time: 7.474s, Loss 9.1378
current_time: 2026-05-16 12:52:27.231404,total_time: 0:42:05.773547, Epoch 200,epoch_time: 5.927s, Loss 8.6658
current_time: 2026-05-16 12:54:05.776547,total_time: 0:43:44.318690, Epoch 210,epoch_time: 22.142s, Loss 9.2497
current_time: 2026-05-16 12:55:44.742616,total_time: 0:45:23.284759, Epoch 220,epoch_time: 14.971s, Loss 9.5867
current_time: 2026-05-16 12:57:22.240624,total_time: 0:47:00.782767, Epoch 230,epoch_time: 6.184s, Loss 9.3419
current_time: 2026-05-16 12:59:42.673979,total_time: 0:49:21.216122, Epoch 240,epoch_time: 13.578s, Loss 9.1787
current_time: 2026-05-16 13:01:25.698707,total_time: 0:51:04.240850, Epoch 250,epoch_time: 17.698s, Loss 8.2553
current_time: 2026-05-16 13:04:11.460726,total_time: 0:53:50.002869, Epoch 260,epoch_time: 12.640s, Loss 9.5136
current_time: 2026-05-16 13:07:13.577171,total_time: 0:56:52.119314, Epoch 270,epoch_time: 21.509s, Loss 9.6959
current_time: 2026-05-16 13:11:24.999914,total_time: 1:01:03.542057, Epoch 280,epoch_time: 62.788s, Loss 9.2329
current_time: 2026-05-16 13:15:19.929094,total_time: 1:04:58.471237, Epoch 290,epoch_time: 29.017s, Loss 9.9806
current_time: 2026-05-16 13:18:33.678747,total_time: 1:08:12.220890, Epoch 300,epoch_time: 19.150s, Loss 9.1237
current_time: 2026-05-16 13:21:28.023736,total_time: 1:11:06.565879, Epoch 310,epoch_time: 11.979s, Loss 10.2467
current_time: 2026-05-16 13:24:52.368762,total_time: 1:14:30.910905, Epoch 320,epoch_time: 13.037s, Loss 9.4897
