current_time: 2026-05-13 09:26:08.568007,total_time: 0:09:18.704476, Epoch 5,epoch_time: 122.614s, Loss 6.4051
current_time: 2026-05-13 09:32:56.636784,total_time: 0:16:06.773253, Epoch 10,epoch_time: 84.791s, Loss 6.4540
current_time: 2026-05-13 09:39:49.907023,total_time: 0:23:00.043492, Epoch 15,epoch_time: 66.002s, Loss 6.3873
current_time: 2026-05-13 09:45:58.436005,total_time: 0:29:08.572474, Epoch 20,epoch_time: 71.604s, Loss 6.3343
current_time: 2026-05-13 09:52:49.857355,total_time: 0:35:59.993824, Epoch 25,epoch_time: 107.089s, Loss 6.3629
current_time: 2026-05-13 10:00:49.313104,total_time: 0:43:59.449573, Epoch 30,epoch_time: 78.397s, Loss 6.3338
current_time: 2026-05-13 10:09:13.281887,total_time: 0:52:23.418356, Epoch 35,epoch_time: 86.464s, Loss 6.3441
current_time: 2026-05-13 10:16:12.258237,total_time: 0:59:22.394706, Epoch 40,epoch_time: 98.487s, Loss 6.3123
current_time: 2026-05-13 10:23:26.293453,total_time: 1:06:36.429922, Epoch 45,epoch_time: 76.043s, Loss 6.2335
current_time: 2026-05-13 10:31:38.456211,total_time: 1:14:48.592680, Epoch 50,epoch_time: 95.755s, Loss 6.2976
current_time: 2026-05-13 10:39:57.300787,total_time: 1:23:07.437256, Epoch 55,epoch_time: 100.554s, Loss 6.2158
current_time: 2026-05-13 10:47:54.284938,total_time: 1:31:04.421407, Epoch 60,epoch_time: 73.597s, Loss 6.2799
current_time: 2026-05-13 10:56:28.686244,total_time: 1:39:38.822713, Epoch 65,epoch_time: 103.192s, Loss 6.2487
current_time: 2026-05-13 11:03:43.718504,total_time: 1:46:53.854973, Epoch 70,epoch_time: 93.067s, Loss 6.2230
current_time: 2026-05-13 11:10:52.206649,total_time: 1:54:02.343118, Epoch 75,epoch_time: 81.037s, Loss 6.1720
current_time: 2026-05-13 11:19:08.741971,total_time: 2:02:18.878440, Epoch 80,epoch_time: 90.885s, Loss 6.1780
current_time: 2026-05-13 11:25:06.497419,total_time: 2:08:16.633888, Epoch 85,epoch_time: 64.234s, Loss 6.2673
