current_time: 2026-05-12 23:47:44.746184,total_time: 0:09:39.748173, Epoch 10,epoch_time: 55.890s, Loss 10.5108
current_time: 2026-05-13 00:00:36.459763,total_time: 0:22:31.461752, Epoch 20,epoch_time: 62.069s, Loss 10.4947
current_time: 2026-05-13 00:10:34.990507,total_time: 0:32:29.992496, Epoch 30,epoch_time: 64.017s, Loss 10.2884
current_time: 2026-05-13 00:19:51.637153,total_time: 0:41:46.639142, Epoch 40,epoch_time: 48.211s, Loss 10.4630
current_time: 2026-05-13 00:29:17.651573,total_time: 0:51:12.653562, Epoch 50,epoch_time: 52.523s, Loss 10.3536
current_time: 2026-05-13 00:38:34.887665,total_time: 1:00:29.889654, Epoch 60,epoch_time: 38.131s, Loss 10.5556
current_time: 2026-05-13 00:47:55.561145,total_time: 1:09:50.563134, Epoch 70,epoch_time: 64.944s, Loss 10.2692
current_time: 2026-05-13 00:57:43.830394,total_time: 1:19:38.832383, Epoch 80,epoch_time: 62.924s, Loss 10.5354
current_time: 2026-05-13 01:06:27.515229,total_time: 1:28:22.517218, Epoch 90,epoch_time: 66.161s, Loss 10.3757
current_time: 2026-05-13 01:16:07.666050,total_time: 1:38:02.668039, Epoch 100,epoch_time: 59.825s, Loss 10.5177
current_time: 2026-05-13 01:24:44.008397,total_time: 1:46:39.010386, Epoch 110,epoch_time: 65.995s, Loss 10.3908
current_time: 2026-05-13 01:33:11.679725,total_time: 1:55:06.681714, Epoch 120,epoch_time: 27.438s, Loss 10.3703
current_time: 2026-05-13 01:42:13.205603,total_time: 2:04:08.207592, Epoch 130,epoch_time: 39.384s, Loss 10.1834
current_time: 2026-05-13 01:51:06.526861,total_time: 2:13:01.528850, Epoch 140,epoch_time: 64.716s, Loss 10.2101
current_time: 2026-05-13 02:00:03.904199,total_time: 2:21:58.906188, Epoch 150,epoch_time: 63.017s, Loss 10.2387
current_time: 2026-05-13 02:09:21.535321,total_time: 2:31:16.537310, Epoch 160,epoch_time: 37.774s, Loss 10.6674
current_time: 2026-05-13 02:19:06.271211,total_time: 2:41:01.273200, Epoch 170,epoch_time: 51.191s, Loss 10.3534
current_time: 2026-05-13 02:28:29.063296,total_time: 2:50:24.065285, Epoch 180,epoch_time: 62.819s, Loss 10.4058
current_time: 2026-05-13 02:37:52.511981,total_time: 2:59:47.513970, Epoch 190,epoch_time: 56.791s, Loss 10.4034
current_time: 2026-05-13 02:46:28.027286,total_time: 3:08:23.029275, Epoch 200,epoch_time: 60.522s, Loss 10.1872
current_time: 2026-05-13 02:55:32.093522,total_time: 3:17:27.095511, Epoch 210,epoch_time: 51.189s, Loss 10.3621
current_time: 2026-05-13 03:04:13.930703,total_time: 3:26:08.932692, Epoch 220,epoch_time: 50.959s, Loss 10.3008
current_time: 2026-05-13 03:12:22.293276,total_time: 3:34:17.295265, Epoch 230,epoch_time: 49.864s, Loss 10.1249
current_time: 2026-05-13 03:21:04.454225,total_time: 3:42:59.456214, Epoch 240,epoch_time: 49.195s, Loss 10.3532
current_time: 2026-05-13 03:29:47.984861,total_time: 3:51:42.986850, Epoch 250,epoch_time: 44.487s, Loss 10.4139
current_time: 2026-05-13 03:39:17.859245,total_time: 4:01:12.861234, Epoch 260,epoch_time: 56.349s, Loss 10.2697
current_time: 2026-05-13 03:47:33.527656,total_time: 4:09:28.529645, Epoch 270,epoch_time: 47.797s, Loss 10.2815
current_time: 2026-05-13 03:56:04.927034,total_time: 4:17:59.929023, Epoch 280,epoch_time: 53.534s, Loss 10.4336
current_time: 2026-05-13 04:04:03.085279,total_time: 4:25:58.087268, Epoch 290,epoch_time: 44.800s, Loss 10.2391
current_time: 2026-05-13 04:12:46.091582,total_time: 4:34:41.093571, Epoch 300,epoch_time: 59.514s, Loss 10.2288
current_time: 2026-05-13 04:21:54.549923,total_time: 4:43:49.551912, Epoch 310,epoch_time: 49.562s, Loss 10.3562
current_time: 2026-05-13 04:31:07.974904,total_time: 4:53:02.976893, Epoch 320,epoch_time: 58.647s, Loss 10.1652
current_time: 2026-05-13 04:39:39.620738,total_time: 5:01:34.622727, Epoch 330,epoch_time: 73.654s, Loss 10.1185
current_time: 2026-05-13 04:48:44.298412,total_time: 5:10:39.300401, Epoch 340,epoch_time: 44.336s, Loss 10.3201
current_time: 2026-05-13 04:58:33.101206,total_time: 5:20:28.103195, Epoch 350,epoch_time: 54.765s, Loss 10.2649
current_time: 2026-05-13 05:06:34.195571,total_time: 5:28:29.197560, Epoch 360,epoch_time: 44.615s, Loss 10.2154
current_time: 2026-05-13 05:16:24.384448,total_time: 5:38:19.386437, Epoch 370,epoch_time: 47.322s, Loss 10.2975
current_time: 2026-05-13 05:26:27.888427,total_time: 5:48:22.890416, Epoch 380,epoch_time: 61.688s, Loss 10.1621
current_time: 2026-05-13 05:34:44.090594,total_time: 5:56:39.092583, Epoch 390,epoch_time: 44.484s, Loss 10.1586
